Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"AMERICAN WATER WOR";US0304201033;2AWK;"Trading After Hours";EUR;119.40;119.40;119.40;119.40;"11/01/2024 18:22";CET;2;238.80;131.40;31/07/2024
"AMERICAN WATER WOR";US0304201033;1AWK;"Euronext Global Equity Market";EUR;127.60;127.60;127.60;127.60;"26/08/2024 15:28";CET;16;2041.60;126.35;26/08/2024
AMG;NL0000888691;2AMG;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
AMG;NL0000888691;AMG;"Euronext Amsterdam";EUR;15.30;15.46;15.12;15.32;"26/08/2024 17:35";CET;96935;'1486937.31;15.32;26/08/2024
AMGEN;US0311621009;2AMGN;"Trading After Hours";EUR;293.80;293.80;293.80;293.80;"'04/07/2024 18:13";CET;1;293.80;309.95;31/07/2024
AMGEN;US0311621009;4AMGN;EuroTLX;EUR;309.80;309.80;309.80;309.80;"30/07/2024 14:38";CET;1;309.80;293.50;26/08/2024
AMGEN;US0311621009;1AMGN;"Euronext Global Equity Market";EUR;294.70;294.70;294.70;294.70;"23/08/2024 17:01";CET;40;11788.00;293.10;26/08/2024
AMOEBA;FR0011051598;ALMIB;"Euronext Growth Paris";EUR;'0.58;'0.58;'0.552;'0.574;"26/08/2024 17:35";CET;79849;45180.78;'0.574;26/08/2024
AMPLIFON;IT0004056880;2AMP;"Trading After Hours";EUR;29.40;29.40;29.25;29.28;"31/07/2024 19:55";CET;1705;50019.86;29.34;31/07/2024
AMPLIFON;IT0004056880;AMP;"Euronext Milan";EUR;29.00;29.07;28.75;28.91;"26/08/2024 17:35";CET;237019;'6845214.88;28.91;26/08/2024
"AMPLITUDE SURGICAL";FR0012789667;AMPLI;"Euronext Paris";EUR;3.14;3.14;3.12;3.12;"26/08/2024 14:40";CET;376;1173.14;3.12;26/08/2024
AMSC;NO0010272065;AMSC;"Oslo Børs";NOK;29.50;30.85;29.20;29.90;"26/08/2024 16:25";CET;93985;'2809791.70;29.90;26/08/2024
AMUNDI;FR0004125920;2AMUN;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
AMUNDI;FR0004125920;4AMUN;EuroTLX;EUR;63.10;63.10;63.10;63.10;"21/06/2024 15:16";CET;100;6310.00;67.70;26/08/2024
AMUNDI;FR0004125920;AMUN;"Euronext Paris";EUR;67.15;67.95;67.05;67.40;"26/08/2024 17:35";CET;49589;'3345665.85;67.40;26/08/2024
"ANALOG DEVICES";US0326541051;1ADI;"Euronext Global Equity Market";EUR;205.00;205.00;205.00;205.00;"'06/08/2024 16:45";CET;4;820.00;205.00;26/08/2024
"ANALOG DEVICES";US0326541051;2ADI;"Trading After Hours";EUR;223.15;223.15;223.15;223.15;"18/06/2024 19:55";CET;10;2231.50;210.45;31/07/2024
"ANALOG DEVICES";US0326541051;4ADI;EuroTLX;EUR;204.90;204.90;204.90;204.90;"21/08/2024 10:52";CET;1;204.90;201.70;26/08/2024
